Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 146, 36.1749, 50.0377, 49.8552, 5.4221, 10.8078, 10.7715, 19.6880, 39.2299, 39.0838
Test 146, 26.2935, 51.3608, 50.1345, 5.6941, 11.0801, 10.7718, 20.5994, 40.2807, 39.3627 
Train 147, 36.1427, 50.0039, 49.8332, 5.4171, 10.7908, 10.7474, 19.6702, 39.2131, 39.0859
Test 147, 26.3084, 51.2264, 49.8360, 5.6723, 11.0436, 10.7426, 20.6360, 40.1828, 39.0935 
Train 148, 36.1261, 50.0362, 49.9175, 5.4182, 10.8034, 10.7704, 19.6592, 39.2328, 39.1472
Test 148, 26.3595, 51.3853, 50.0516, 5.7767, 11.1466, 10.7398, 20.5828, 40.2387, 39.3118 
Train 149, 36.1462, 50.0034, 49.8277, 5.4126, 10.7876, 10.7502, 19.6770, 39.2157, 39.0775
Test 149, 26.4066, 51.4082, 50.0033, 5.8275, 11.2024, 10.7499, 20.5792, 40.2058, 39.2534 
Train 150, 36.1068, 49.9944, 49.8652, 5.4084, 10.7827, 10.7487, 19.6534, 39.2117, 39.1165
Test 150, 26.2208, 51.2067, 49.9716, 5.6275, 10.9694, 10.6838, 20.5934, 40.2373, 39.2879 
Train 151, 36.1309, 50.0055, 49.8578, 5.4056, 10.7686, 10.7261, 19.6711, 39.2369, 39.1317
Test 151, 26.3154, 51.2732, 49.9156, 5.7360, 11.1131, 10.7542, 20.5794, 40.1601, 39.1614 
Train 152, 36.1118, 49.9738, 49.8132, 5.4115, 10.7811, 10.7393, 19.6557, 39.1927, 39.0739
Test 152, 26.2839, 51.2853, 50.0027, 5.6743, 11.0589, 10.7693, 20.6097, 40.2264, 39.2334 
Train 153, 36.0887, 49.9827, 49.8694, 5.4011, 10.7759, 10.7496, 19.6469, 39.2068, 39.1197
Test 153, 26.2353, 51.2022, 49.9339, 5.6962, 11.0698, 10.7472, 20.5391, 40.1324, 39.1867 
Train 154, 36.0987, 49.9832, 49.8514, 5.4108, 10.7808, 10.7401, 19.6468, 39.2025, 39.1113
Test 154, 26.1814, 51.2173, 50.0719, 5.6014, 11.0051, 10.8074, 20.5800, 40.2122, 39.2644 
Train 155, 36.0718, 49.9693, 49.8666, 5.4002, 10.7714, 10.7424, 19.6359, 39.1980, 39.1242
Test 155, 26.3912, 51.3777, 49.9730, 5.7582, 11.1280, 10.7395, 20.6330, 40.2497, 39.2335 
Train 156, 36.1036, 49.9407, 49.7634, 5.4051, 10.7635, 10.7167, 19.6539, 39.1773, 39.0467
Test 156, 26.2383, 51.1719, 49.8671, 5.6621, 11.0151, 10.7060, 20.5762, 40.1567, 39.1611 
Train 157, 36.1048, 49.9499, 49.7817, 5.3988, 10.7722, 10.7468, 19.6603, 39.1777, 39.0348
Test 157, 26.1461, 51.0779, 49.8637, 5.5708, 10.9533, 10.7650, 20.5753, 40.1246, 39.0987 
Train 158, 36.0885, 49.9149, 49.7334, 5.3971, 10.7608, 10.7274, 19.6511, 39.1541, 39.0059
Test 158, 26.2319, 51.2095, 49.9551, 5.6463, 11.0043, 10.7161, 20.5856, 40.2052, 39.2390 
Train 159, 36.0830, 49.9437, 49.7928, 5.4024, 10.7680, 10.7311, 19.6449, 39.1757, 39.0617
Test 159, 26.2896, 51.2506, 49.9218, 5.6901, 11.0657, 10.7511, 20.5995, 40.1849, 39.1707 
Train 160, 36.1056, 49.9046, 49.6860, 5.4034, 10.7718, 10.7369, 19.6582, 39.1327, 38.9491
Test 160, 26.3903, 51.2908, 49.8011, 5.7364, 11.1018, 10.7308, 20.6539, 40.1890, 39.0703 
Train 161, 36.0648, 49.8818, 49.7006, 5.3954, 10.7512, 10.7116, 19.6361, 39.1306, 38.9890
Test 161, 26.1307, 51.0328, 49.8043, 5.5765, 10.9490, 10.7450, 20.5542, 40.0838, 39.0593 
