Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s1 
Test 53, 43.0042, 68.9874, 51.9664, 7.2318, 14.2275, 13.9914, 35.7724, 54.7599, 37.9750 
Train 54, 26.1676, 51.9069, 51.4786, 6.9605, 13.9495, 13.9779, 19.2070, 37.9573, 37.5007
Test 54, 42.8389, 68.5543, 51.4309, 7.2250, 14.2186, 13.9871, 35.6138, 54.3357, 37.4437 
Train 55, 26.1075, 51.8177, 51.4204, 6.9435, 13.9232, 13.9594, 19.1640, 37.8945, 37.4610
Test 55, 42.8075, 68.4971, 51.3791, 7.1879, 14.1442, 13.9126, 35.6196, 54.3529, 37.4666 
Train 56, 26.0545, 51.8402, 51.5714, 6.9293, 13.8780, 13.8973, 19.1252, 37.9622, 37.6741
Test 56, 42.7967, 68.6655, 51.7378, 7.1973, 14.1382, 13.8819, 35.5994, 54.5274, 37.8559 
Train 57, 26.0348, 51.6882, 51.3068, 6.9198, 13.8542, 13.8687, 19.1150, 37.8340, 37.4381
Test 57, 42.6616, 68.2589, 51.1945, 7.1706, 14.1067, 13.8722, 35.4911, 54.1522, 37.3223 
Train 58, 25.9249, 51.5092, 51.1685, 6.9061, 13.8358, 13.8593, 19.0188, 37.6734, 37.3092
Test 58, 42.8789, 68.4327, 51.1077, 7.1618, 14.0811, 13.8384, 35.7171, 54.3517, 37.2692 
Train 59, 25.8419, 51.3130, 50.9423, 6.8909, 13.7950, 13.8083, 18.9510, 37.5180, 37.1340
Test 59, 43.0502, 68.5787, 51.0570, 7.1373, 14.0463, 13.8181, 35.9129, 54.5324, 37.2389 
Train 60, 25.7996, 51.2825, 50.9658, 6.8806, 13.7781, 13.7949, 18.9190, 37.5044, 37.1708
Test 60, 43.0640, 68.6384, 51.1487, 7.1409, 14.0285, 13.7751, 35.9231, 54.6099, 37.3736 
Train 61, 25.7226, 51.1991, 50.9530, 6.8697, 13.7499, 13.7604, 18.8529, 37.4492, 37.1927
Test 61, 42.7183, 68.1503, 50.8639, 7.0942, 13.9743, 13.7602, 35.6242, 54.1760, 37.1037 
Train 62, 25.6725, 51.0517, 50.7585, 6.8601, 13.7318, 13.7433, 18.8124, 37.3200, 37.0152
Test 62, 43.1203, 68.5765, 50.9124, 7.0928, 13.9628, 13.7402, 36.0276, 54.6137, 37.1722 
Train 63, 25.6339, 50.9579, 50.6480, 6.8494, 13.7065, 13.7141, 18.7845, 37.2514, 36.9339
Test 63, 43.1978, 68.6707, 50.9458, 7.0645, 13.9183, 13.7076, 36.1333, 54.7524, 37.2383 
Train 64, 25.6010, 50.9106, 50.6190, 6.8369, 13.6751, 13.6766, 18.7642, 37.2354, 36.9425
Test 64, 43.0558, 68.5160, 50.9204, 7.0573, 13.8810, 13.6473, 35.9984, 54.6350, 37.2731 
Train 65, 25.5975, 50.9215, 50.6479, 6.8238, 13.6526, 13.6577, 18.7737, 37.2689, 36.9902
Test 65, 43.1186, 68.5488, 50.8604, 7.0470, 13.8760, 13.6580, 36.0716, 54.6728, 37.2023 
Train 66, 25.5323, 50.7440, 50.4234, 6.8182, 13.6347, 13.6330, 18.7141, 37.1093, 36.7904
Test 66, 43.0713, 68.3627, 50.5830, 7.0588, 13.8766, 13.6357, 36.0125, 54.4861, 36.9473 
Train 67, 25.4501, 50.6324, 50.3647, 6.8084, 13.6184, 13.6200, 18.6416, 37.0140, 36.7447
Test 67, 42.8868, 68.2053, 50.6371, 7.0291, 13.8412, 13.6243, 35.8577, 54.3641, 37.0128 
Train 68, 25.4084, 50.5333, 50.2497, 6.7948, 13.5954, 13.6010, 18.6136, 36.9379, 36.6487
