Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 133, 41.0805, 60.3410, 61.9865, 5.8928, 11.9389, 12.0921, 23.4549, 48.4021, 49.8944
Test 133, 28.2399, 55.5886, 54.6974, 5.6536, 10.8821, 10.4571, 22.5863, 44.7065, 44.2403 
Train 134, 41.5344, 61.6790, 63.7926, 6.2916, 11.6551, 10.7271, 23.4911, 50.0239, 53.0656
Test 134, 28.2318, 55.5050, 54.5464, 5.6170, 10.8391, 10.4443, 22.6148, 44.6658, 44.1020 
Train 135, 42.7951, 62.5706, 64.1299, 5.9397, 11.5336, 11.1878, 24.5660, 51.0370, 52.9421
Test 135, 28.0493, 55.2656, 54.4326, 5.5595, 10.7611, 10.4032, 22.4898, 44.5045, 44.0293 
Train 136, 42.6066, 61.2664, 61.3376, 6.5917, 11.8436, 10.5038, 24.0059, 49.4228, 50.8338
Test 136, 28.2158, 55.3241, 54.2166, 5.6718, 10.8701, 10.3965, 22.5439, 44.4539, 43.8201 
Train 137, 40.4388, 61.3922, 64.9093, 5.9467, 11.5097, 11.1261, 22.9909, 49.8825, 53.7832
Test 137, 28.1470, 55.2236, 54.1533, 5.6010, 10.7743, 10.3465, 22.5459, 44.4493, 43.8068 
Train 138, 45.7125, 61.5134, 58.0039, 6.1208, 11.6983, 11.1552, 26.3906, 49.8150, 46.8488
Test 138, 28.1821, 55.2555, 54.1468, 5.6419, 10.8387, 10.3936, 22.5402, 44.4168, 43.7532 
Train 139, 44.7978, 61.1740, 58.6535, 5.9574, 11.3152, 10.7156, 25.8899, 49.8588, 47.9379
Test 139, 28.1805, 55.2951, 54.2293, 5.6162, 10.8501, 10.4679, 22.5643, 44.4450, 43.7614 
Train 140, 42.8809, 61.7331, 62.3597, 5.9109, 11.4794, 11.1372, 24.6424, 50.2537, 51.2225
Test 140, 28.2758, 55.5052, 54.4588, 5.7112, 10.9268, 10.4312, 22.5647, 44.5784, 44.0275 
Train 141, 41.7143, 60.8580, 61.9556, 6.2234, 11.7348, 11.0227, 23.6567, 49.1232, 50.9329
Test 141, 28.4764, 55.6672, 54.3817, 5.8943, 11.0980, 10.4075, 22.5821, 44.5692, 43.9742 
Train 142, 44.5835, 62.8547, 62.3799, 5.8412, 11.2882, 10.8939, 25.8235, 51.5665, 51.4860
Test 142, 28.0697, 55.2171, 54.2948, 5.5931, 10.7997, 10.4133, 22.4767, 44.4174, 43.8816 
Train 143, 41.2553, 59.9886, 60.9155, 6.0952, 11.7776, 11.3647, 23.4356, 48.2110, 49.5507
Test 143, 28.4140, 55.6415, 54.4550, 5.8997, 11.1156, 10.4317, 22.5143, 44.5259, 44.0233 
Train 144, 38.8034, 59.9790, 64.0608, 6.2516, 11.6211, 10.7390, 21.6970, 48.3579, 53.3217
Test 144, 28.4499, 55.6909, 54.4819, 5.8644, 11.1022, 10.4756, 22.5855, 44.5886, 44.0063 
Train 145, 43.7531, 59.7680, 57.4353, 5.6613, 11.8176, 12.3125, 25.3891, 47.9505, 45.1228
Test 145, 28.4135, 55.8806, 54.9341, 5.8833, 11.2145, 10.6624, 22.5302, 44.6661, 44.2718 
Train 146, 45.6179, 62.1212, 59.3158, 6.1693, 12.0395, 11.7404, 26.2940, 50.0817, 47.5754
Test 146, 28.4854, 55.8453, 54.7198, 5.8861, 11.1543, 10.5364, 22.5992, 44.6910, 44.1835 
Train 147, 42.9499, 60.5411, 59.8803, 5.9187, 11.6535, 11.4697, 24.6823, 48.8876, 48.4106
Test 147, 28.2744, 55.6891, 54.8295, 5.8225, 11.0463, 10.4475, 22.4519, 44.6428, 44.3820 
Train 148, 37.1337, 58.0613, 62.5318, 6.1340, 11.8443, 11.4207, 20.6614, 46.2170, 51.1111
Test 148, 28.4067, 55.7302, 54.6469, 5.8323, 11.0589, 10.4533, 22.5744, 44.6712, 44.1937 
Train 149, 41.6136, 62.3670, 65.1710, 6.1291, 11.6310, 11.0037, 23.6523, 50.7360, 54.1674
Test 149, 28.1063, 55.3641, 54.5156, 5.5149, 10.7499, 10.4701, 22.5914, 44.6142, 44.0455 
Train 150, 39.6985, 58.1650, 59.3394, 6.1008, 11.5422, 10.8829, 22.3946, 46.6228, 48.4565
Test 150, 28.2930, 55.5244, 54.4627, 5.6881, 10.9237, 10.4712, 22.6049, 44.6007, 43.9915 
Train 151, 46.0291, 62.6306, 59.8841, 6.0257, 11.7783, 11.5052, 26.6629, 50.8524, 48.3788
Test 151, 28.2886, 55.5290, 54.4809, 5.7295, 10.9781, 10.4972, 22.5591, 44.5509, 43.9837 
Train 152, 43.4039, 62.1833, 62.3577, 6.2173, 11.7561, 11.0776, 24.7871, 50.4271, 51.2801
Test 152, 28.5306, 55.6107, 54.1602, 5.9356, 11.1641, 10.4570, 22.5950, 44.4466, 43.7032 
Train 153, 42.6750, 62.7691, 64.7217, 5.8892, 11.5391, 11.2999, 24.5191, 51.2300, 53.4217
Test 153, 28.3633, 55.5326, 54.3387, 5.7603, 10.9743, 10.4280, 22.6029, 44.5583, 43.9107 
Train 154, 41.1816, 60.8305, 62.6159, 6.2133, 11.6749, 10.9233, 23.3092, 49.1555, 51.6926
Test 154, 28.4109, 55.4126, 54.0036, 5.8842, 11.1028, 10.4372, 22.5267, 44.3099, 43.5664 
Train 155, 42.2934, 58.4749, 56.5626, 6.0058, 11.2949, 10.5782, 24.1877, 47.1800, 45.9844
