(test)	9.0960, 9.4863, 9.8878, 10.5549, 11.1299, 12.1176, 13.5986, 15.5563, 19.1790, 23.4277, 39.4269
 pred 	19.2739, 19.8924, 20.6143, 21.7373, 22.8207, 24.7143, 27.4391, 31.0562, 37.5152, 43.8539, 79.1767
 var 	20.3558, 20.8122, 21.4530, 22.3648, 23.3817, 25.1934, 27.6810, 30.9998, 36.6725, 40.8525, 79.4995

[Epoch 5] 9.0691, 9.4550, 9.8543, 10.5226, 11.0997, 12.0869, 13.5103, 15.5108, 19.1934, 23.4873, 39.8424
 pred 	19.1662, 19.7983, 20.5174, 21.6385, 22.7058, 24.6125, 27.3195, 31.0381, 37.5143, 43.8958, 79.2834
 var 	20.1943, 20.6866, 21.3263, 22.2319, 23.2123, 25.0511, 27.6184, 31.0546, 36.6418, 40.8170, 78.8820
(test)	9.0838, 9.4747, 9.8702, 10.5342, 11.1360, 12.0961, 13.5218, 15.5549, 19.1293, 23.4513, 39.3796
 pred 	19.1292, 19.7813, 20.5056, 21.6425, 22.7531, 24.5897, 27.3427, 31.0598, 37.5076, 43.9014, 79.4578
 var 	20.0907, 20.6131, 21.2708, 22.2165, 23.2342, 24.9872, 27.6418, 31.0099, 36.7566, 40.9002, 80.1564

[Epoch 6] 9.0454, 9.4300, 9.8348, 10.4992, 11.0753, 12.0473, 13.4906, 15.4925, 19.1650, 23.4632, 39.8209
 pred 	19.0175, 19.6603, 20.3827, 21.5312, 22.6079, 24.5246, 27.2637, 31.0049, 37.5110, 43.9650, 79.3084
 var 	19.9441, 20.4607, 21.0958, 22.0640, 23.0652, 24.9545, 27.5462, 31.0249, 36.6919, 41.0036, 78.9750
(test)	9.0104, 9.4125, 9.8099, 10.4902, 11.0734, 12.0390, 13.4587, 15.4922, 19.0733, 23.4171, 39.2909
 pred 	18.9337, 19.6033, 20.3238, 21.5036, 22.5830, 24.4769, 27.2250, 30.8795, 37.4639, 43.9121, 78.7792
 var 	19.8467, 20.3816, 21.0278, 22.0267, 23.0191, 24.8758, 27.5325, 30.7746, 36.7811, 40.9899, 78.9766

[Epoch 7] 9.0142, 9.4044, 9.8087, 10.4757, 11.0452, 12.0376, 13.4746, 15.4695, 19.1754, 23.4229, 39.7544
 pred 	18.8662, 19.5292, 20.2520, 21.4167, 22.5061, 24.4204, 27.1902, 30.9186, 37.5827, 44.0653, 79.2941
 var 	19.7040, 20.2496, 20.8865, 21.8821, 22.9219, 24.7656, 27.4311, 30.8980, 36.8146, 41.2848, 79.0794
(test)	8.9948, 9.3998, 9.8087, 10.4747, 11.0670, 12.0450, 13.4950, 15.4841, 19.0769, 23.3957, 39.2436
 pred 	18.8481, 19.4960, 20.2455, 21.4121, 22.5011, 24.4153, 27.1830, 30.9526, 37.4778, 44.0412, 78.7700
 var 	19.7066, 20.1926, 20.8736, 21.8748, 22.8682, 24.7405, 27.3761, 30.9371, 36.8019, 41.2911, 79.0527

