 pred 	18.8481, 19.4960, 20.2455, 21.4121, 22.5011, 24.4153, 27.1830, 30.9526, 37.4778, 44.0412, 78.7700
 var 	19.7066, 20.1926, 20.8736, 21.8748, 22.8682, 24.7405, 27.3761, 30.9371, 36.8019, 41.2911, 79.0527

[Epoch 13] 8.9951, 9.3852, 9.7906, 10.4561, 11.0379, 12.0148, 13.4658, 15.4692, 19.1522, 23.4209, 39.7164
 pred 	18.7808, 19.4532, 20.1862, 21.3675, 22.4704, 24.3855, 27.1593, 30.8639, 37.5409, 44.1370, 79.3369
 var 	19.5713, 20.1359, 20.7913, 21.8229, 22.8651, 24.7415, 27.3872, 30.7894, 36.7774, 41.4322, 79.2411
(test)	9.0241, 9.4030, 9.8159, 10.5015, 11.0584, 12.0450, 13.5277, 15.5125, 19.0922, 23.3677, 39.2404
 pred 	18.7880, 19.4387, 20.1858, 21.4010, 22.5258, 24.4416, 27.2068, 30.8735, 37.4408, 44.0868, 78.7227
 var 	19.5278, 20.0715, 20.7399, 21.7991, 22.9349, 24.7931, 27.3582, 30.7221, 36.6971, 41.4382, 78.9647

[Epoch 14] 8.9673, 9.3614, 9.7715, 10.4351, 11.0070, 11.9955, 13.4384, 15.4437, 19.1414, 23.3917, 39.7763
 pred 	18.6834, 19.3546, 20.0959, 21.2827, 22.3990, 24.3221, 27.0931, 30.8006, 37.5785, 44.2232, 79.3486
 var 	19.4323, 19.9864, 20.6487, 21.6952, 22.7840, 24.6532, 27.3093, 30.7139, 36.8743, 41.6630, 79.1446
(test)	8.9807, 9.3738, 9.7906, 10.4760, 11.0557, 12.0348, 13.4772, 15.4563, 19.0281, 23.3591, 39.3575
 pred 	18.6793, 19.3578, 20.1030, 21.3287, 22.4425, 24.3640, 27.1425, 30.7965, 37.4930, 44.2458, 78.4878
 var 	19.3971, 19.9680, 20.6248, 21.7055, 22.7736, 24.6584, 27.3306, 30.6804, 36.9297, 41.7736, 78.2606

[Epoch 15] 8.9470, 9.3447, 9.7501, 10.4184, 10.9969, 11.9899, 13.4404, 15.4476, 19.1415, 23.3527, 39.6995
 pred 	18.5986, 19.2758, 20.0190, 21.2253, 22.3564, 24.2767, 27.0412, 30.7235, 37.5868, 44.2946, 79.4776
