Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 71, 28.2173, 54.9868, 53.5391, 6.0966, 11.5659, 10.9387, 22.1207, 43.4209, 42.6004 
Train 72, 45.5078, 62.2952, 59.1553, 7.1454, 12.7604, 11.2299, 25.5722, 49.5349, 47.9254
Test 72, 28.3455, 55.1952, 53.6993, 6.2059, 11.6691, 10.9265, 22.1397, 43.5260, 42.7727 
Train 73, 45.4390, 62.2299, 59.4954, 6.5776, 12.2349, 11.3145, 25.9046, 49.9950, 48.1809
Test 73, 28.2689, 55.1023, 53.6668, 6.1322, 11.5655, 10.8667, 22.1367, 43.5368, 42.8002 
Train 74, 44.8981, 61.8576, 59.4550, 6.6027, 12.6090, 12.0126, 25.5274, 49.2486, 47.4425
Test 74, 28.3791, 55.2713, 53.7843, 6.2626, 11.6783, 10.8313, 22.1165, 43.5930, 42.9530 
Train 75, 42.4725, 61.6440, 62.2675, 6.5935, 12.3367, 11.4864, 23.9168, 49.3073, 50.7811
Test 75, 28.3262, 55.1660, 53.6797, 6.1880, 11.6126, 10.8492, 22.1381, 43.5534, 42.8305 
Train 76, 44.9709, 63.2211, 62.0906, 6.5931, 11.9844, 10.7827, 25.5827, 51.2366, 51.3078
Test 76, 28.1887, 54.9628, 53.5481, 5.9807, 11.3782, 10.7949, 22.2080, 43.5846, 42.7532 
Train 77, 43.4622, 60.1259, 58.2673, 6.0602, 11.9263, 11.7322, 24.9321, 48.1996, 46.5350
Test 77, 28.2002, 55.0699, 53.7394, 6.0591, 11.4153, 10.7125, 22.1411, 43.6546, 43.0269 
Train 78, 41.7270, 59.9590, 60.1554, 6.1972, 11.8973, 11.4003, 23.6841, 48.0617, 48.7551
Test 78, 27.9025, 54.8103, 53.8157, 5.8103, 11.1564, 10.6923, 22.0922, 43.6539, 43.1234 
Train 79, 44.2558, 62.9315, 62.3695, 6.7371, 12.2890, 11.1038, 25.0097, 50.6425, 51.2657
Test 79, 28.2935, 55.1014, 53.6159, 6.0820, 11.4110, 10.6581, 22.2115, 43.6904, 42.9578 
Train 80, 49.0008, 63.9082, 58.3116, 6.2666, 11.9639, 11.3948, 28.4859, 51.9443, 46.9169
Test 80, 28.0052, 54.8100, 53.6097, 5.8934, 11.2188, 10.6507, 22.1118, 43.5913, 42.9589 
Train 81, 43.5186, 61.5243, 60.9710, 6.0892, 11.7995, 11.4206, 24.9495, 49.7248, 49.5504
Test 81, 28.3947, 55.2468, 53.7042, 6.1830, 11.4889, 10.6118, 22.2117, 43.7579, 43.0923 
Train 82, 43.7639, 63.4141, 64.4249, 6.0887, 11.6042, 11.0309, 25.1129, 51.8099, 53.3940
Test 82, 28.1385, 54.9556, 53.6341, 5.9630, 11.2642, 10.6025, 22.1755, 43.6913, 43.0316 
Train 83, 48.3607, 62.7498, 56.5723, 6.6815, 12.3658, 11.3686, 27.7821, 50.3839, 45.2037
Test 83, 28.1716, 55.0544, 53.7657, 5.9679, 11.3112, 10.6866, 22.2036, 43.7432, 43.0791 
Train 84, 43.6064, 63.1375, 63.6634, 6.7148, 12.4120, 11.3945, 24.5910, 50.7254, 52.2689
Test 84, 27.9938, 54.8812, 53.7747, 5.8505, 11.2070, 10.7131, 22.1433, 43.6741, 43.0616 
Train 85, 42.2025, 62.4594, 63.9437, 7.0653, 12.5786, 11.0266, 23.4222, 49.8807, 52.9171
Test 85, 28.0404, 54.9949, 53.9091, 5.9003, 11.2630, 10.7254, 22.1400, 43.7319, 43.1837 
Train 86, 42.3242, 63.6446, 66.4819, 6.5691, 12.1946, 11.2509, 23.8346, 51.4501, 55.2310
Test 86, 28.0443, 54.8867, 53.6849, 5.9000, 11.2445, 10.6890, 22.1443, 43.6423, 42.9958 
Train 87, 43.7166, 62.1925, 61.6421, 6.6899, 12.4827, 11.5858, 24.6816, 49.7097, 50.0563
Test 87, 28.1154, 54.8702, 53.5096, 5.9294, 11.2528, 10.6469, 22.1860, 43.6174, 42.8627 
Train 88, 45.2518, 61.8351, 58.9019, 6.6598, 12.1653, 11.0110, 25.7243, 49.6697, 47.8909
Test 88, 27.9856, 54.7524, 53.5335, 5.8520, 11.1527, 10.6014, 22.1336, 43.5996, 42.9321 
Train 89, 43.1158, 63.3860, 64.8290, 6.6934, 12.2201, 11.0533, 24.2781, 51.1659, 53.7757
Test 89, 28.0443, 54.7832, 53.4780, 5.8492, 11.1501, 10.6019, 22.1951, 43.6331, 42.8760 
Train 90, 47.1218, 64.2280, 61.2915, 6.5150, 11.9400, 10.8500, 27.0673, 52.2880, 50.4415
Test 90, 27.8809, 54.6122, 53.4625, 5.7866, 11.1237, 10.6742, 22.0944, 43.4885, 42.7883 
Train 91, 39.7450, 60.6774, 64.3475, 6.0303, 11.8176, 11.5747, 22.4734, 48.8598, 52.7728
Test 91, 27.7775, 54.5231, 53.4913, 5.7248, 11.0900, 10.7305, 22.0527, 43.4332, 42.7609 
Train 92, 42.9171, 61.9669, 62.6504, 6.1020, 12.0082, 11.8123, 24.5397, 49.9587, 50.8381
Test 92, 28.0567, 54.8407, 53.5681, 5.8842, 11.2616, 10.7548, 22.1725, 43.5791, 42.8133 
Train 93, 43.1601, 61.4543, 61.2775, 6.1372, 11.7238, 11.1732, 24.6784, 49.7305, 50.1043
Test 93, 27.9675, 54.6949, 53.4548, 5.8128, 11.1625, 10.6994, 22.1547, 43.5325, 42.7554 
Train 94, 44.3338, 62.7587, 62.2633, 6.2214, 11.7068, 10.9707, 25.4057, 51.0519, 51.2925
Test 94, 27.8852, 54.6450, 53.5195, 5.7861, 11.1470, 10.7219, 22.0991, 43.4979, 42.7976 
Train 95, 42.1115, 61.9473, 63.4698, 6.4233, 11.9757, 11.1049, 23.7891, 49.9716, 52.3649
Test 95, 28.1739, 54.7676, 53.1874, 5.9440, 11.2994, 10.7108, 22.2299, 43.4682, 42.4766 
Train 96, 45.0581, 63.3541, 62.2790, 6.5397, 12.1740, 11.2684, 25.6748, 51.1801, 51.0106
