Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 173, 26.1436, 51.0373, 49.7874, 5.4603, 10.5227, 10.1247, 20.6833, 40.5146, 39.6627 
Train 174, 35.8946, 49.8324, 49.7614, 5.1042, 10.1660, 10.1237, 19.8475, 39.6664, 39.6377
Test 174, 26.0068, 50.8821, 49.7507, 5.3060, 10.3680, 10.1240, 20.7008, 40.5141, 39.6267 
Train 175, 35.8980, 49.8031, 49.6995, 5.1014, 10.1569, 10.1110, 19.8519, 39.6462, 39.5885
Test 175, 26.0464, 50.9616, 49.8305, 5.3491, 10.4157, 10.1332, 20.6973, 40.5459, 39.6973 
Train 176, 35.9086, 49.7835, 49.6447, 5.1028, 10.1586, 10.1117, 19.8584, 39.6249, 39.5330
Test 176, 26.0454, 50.8812, 49.6717, 5.3625, 10.4031, 10.0811, 20.6828, 40.4781, 39.5906 
Train 177, 35.8978, 49.7678, 49.6247, 5.1034, 10.1554, 10.1040, 19.8520, 39.6124, 39.5208
Test 177, 26.0490, 50.9418, 49.7857, 5.3779, 10.4626, 10.1694, 20.6711, 40.4793, 39.6163 
Train 178, 35.9021, 49.7761, 49.6386, 5.0997, 10.1740, 10.1487, 19.8571, 39.6021, 39.4899
Test 178, 26.0463, 50.8613, 49.6300, 5.3378, 10.4234, 10.1713, 20.7085, 40.4379, 39.4587 
Train 179, 35.8669, 49.7565, 49.6431, 5.1007, 10.1762, 10.1509, 19.8342, 39.5803, 39.4922
Test 179, 26.1030, 50.9171, 49.6282, 5.3910, 10.4532, 10.1244, 20.7119, 40.4638, 39.5038 
Train 180, 35.8623, 49.7682, 49.6703, 5.0988, 10.1615, 10.1255, 19.8342, 39.6067, 39.5449
Test 180, 25.9983, 50.9144, 49.8322, 5.3074, 10.3673, 10.1198, 20.6909, 40.5472, 39.7125 
Train 181, 35.8484, 49.7583, 49.6738, 5.0929, 10.1513, 10.1167, 19.8285, 39.6071, 39.5570
Test 181, 26.0529, 51.0159, 49.9260, 5.3531, 10.4148, 10.1233, 20.6997, 40.6011, 39.8027 
Train 182, 35.8821, 49.7582, 49.6249, 5.0978, 10.1569, 10.1182, 19.8480, 39.6013, 39.5067
Test 182, 26.0645, 51.0299, 49.9307, 5.3915, 10.4705, 10.1580, 20.6730, 40.5594, 39.7727 
Train 183, 35.8614, 49.7604, 49.6528, 5.0984, 10.1578, 10.1188, 19.8355, 39.6026, 39.5340
Test 183, 26.0477, 50.9663, 49.8372, 5.3619, 10.4144, 10.1051, 20.6858, 40.5519, 39.7322 
Train 184, 35.8443, 49.7433, 49.6418, 5.0974, 10.1668, 10.1389, 19.8250, 39.5765, 39.5029
Test 184, 25.9464, 50.9114, 49.9298, 5.2829, 10.3464, 10.1268, 20.6635, 40.5650, 39.8030 
Train 185, 35.8813, 49.7056, 49.5188, 5.0940, 10.1519, 10.1156, 19.8521, 39.5537, 39.4031
Test 185, 26.0418, 50.8901, 49.6967, 5.3619, 10.4172, 10.1105, 20.6798, 40.4729, 39.5862 
Train 186, 35.8568, 49.7039, 49.5469, 5.0935, 10.1446, 10.1021, 19.8370, 39.5594, 39.4448
Test 186, 25.9938, 50.8993, 49.8111, 5.3420, 10.3829, 10.0817, 20.6517, 40.5165, 39.7295 
Train 187, 35.8475, 49.7460, 49.6412, 5.0930, 10.1373, 10.0887, 19.8325, 39.6087, 39.5525
Test 187, 26.0205, 50.8628, 49.6846, 5.3672, 10.4094, 10.0843, 20.6533, 40.4534, 39.6003 
