Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 165, 26.4147, 51.3917, 49.9540, 5.9156, 11.3647, 10.8982, 20.4991, 40.0270, 39.0558 
Train 166, 36.0988, 50.0418, 49.9051, 5.4777, 10.9236, 10.8918, 19.6115, 39.1182, 39.0133
Test 166, 26.3448, 51.4722, 50.2547, 5.7964, 11.2425, 10.8922, 20.5484, 40.2297, 39.3625 
Train 167, 36.1063, 50.0214, 49.8632, 5.4661, 10.8982, 10.8641, 19.6237, 39.1232, 38.9991
Test 167, 26.4826, 51.4734, 49.9816, 5.8734, 11.3524, 10.9579, 20.6092, 40.1211, 39.0237 
Train 168, 36.0731, 50.0005, 49.8652, 5.4673, 10.8977, 10.8609, 19.6005, 39.1027, 39.0044
Test 168, 26.3245, 51.4382, 50.2273, 5.7526, 11.1943, 10.8834, 20.5719, 40.2438, 39.3439 
Train 169, 36.0983, 49.9871, 49.8106, 5.4603, 10.8803, 10.8399, 19.6216, 39.1069, 38.9706
Test 169, 26.2024, 51.2435, 50.0823, 5.6414, 11.0917, 10.9004, 20.5609, 40.1519, 39.1819 
Train 170, 36.0718, 49.9978, 49.8627, 5.4677, 10.8977, 10.8601, 19.5988, 39.1001, 39.0026
Test 170, 26.2784, 51.2720, 49.9872, 5.7178, 11.1568, 10.8779, 20.5606, 40.1152, 39.1093 
Train 171, 36.0722, 49.9583, 49.7897, 5.4553, 10.8797, 10.8488, 19.6081, 39.0786, 38.9409
Test 171, 26.4421, 51.4453, 50.0064, 5.8822, 11.3147, 10.8649, 20.5599, 40.1307, 39.1415 
Train 172, 36.0817, 49.9243, 49.7140, 5.4488, 10.8728, 10.8479, 19.6184, 39.0515, 38.8661
Test 172, 26.2970, 51.2825, 49.9710, 5.7033, 11.1347, 10.8629, 20.5937, 40.1478, 39.1081 
Train 173, 36.0334, 49.9577, 49.8468, 5.4481, 10.8468, 10.7973, 19.5862, 39.1109, 39.0495
Test 173, 26.3796, 51.3674, 49.9756, 5.8407, 11.2625, 10.8435, 20.5389, 40.1049, 39.1322 
